"","formatted_address","province","citycode","city","district","adcode","lng","lat","Name","keyword","lng_wgs84","lat_wgs84","height"
"1","江苏省南京市栖霞区中山陵园风景区","江苏省",25,"NJ","栖霞区",320113,118.883375,32.07025,"南京中山陵园风景区","中山陵",118.878344820792,32.0724654680113,34
"2","江苏省南京市雨花台区雨花台景区","江苏省",25,"NJ","雨花台区",320114,118.781845,31.99783,"南京雨花台景区","雨花台",118.776644679464,31.9998715595906,35
"3","江苏省南京市秦淮区夫子庙秦淮风光带管理局","江苏省",25,"NJ","秦淮区",320104,118.788134,32.0211,"南京夫子庙秦淮风光带","夫子庙",118.782940081273,32.0231545091041,13
"4","江苏省南京市鼓楼区阅江楼景区","江苏省",25,"NJ","鼓楼区",320106,118.747828,32.09437,"南京阅江楼景区","阅江楼",118.742599174554,32.0964150447455,59
"5","江苏省南京市玄武区总统府景区","江苏省",25,"NJ","玄武区",320102,118.796031,32.04306,"南京总统府景区","总统府",118.790847549299,32.0451305538183,11
"6","江苏省无锡市滨湖区太湖鼋头渚风景区","江苏省",510,"WX","滨湖区",320211,120.221047,31.52778,"无锡太湖鼋头渚风景区","鼋头渚",120.21642603078,31.529713926068,5
"7","江苏省无锡市滨湖区灵山景区","江苏省",510,"WX","滨湖区",320211,120.100962,31.42693,"无锡灵山景区","灵山",120.096053182742,31.4287144487733,16
"8","江苏省无锡市滨湖区三国水浒景区","江苏省",510,"WX","滨湖区",320211,120.234205,31.48068,"无锡三国水浒景区","三国",120.229610775917,31.4826314117808,9
"9","江苏省无锡市宜兴市善卷洞风景区","江苏省",510,"WX","宜兴市",320282,119.669598,31.29887,"宜兴善卷洞风景区","善卷洞",119.664673130077,31.300985393396,87
"10","江苏省无锡市","江苏省",510,"WX","list()",320200,120.274231,31.579007,"无锡锡惠园林文物名胜区","锡惠",120.269650634279,31.5809402886148,33
"11","江苏省徐州市泉山区淮海战役烈士纪念塔","江苏省",516,"XZ","泉山区",320311,117.197516,34.23357,"徐州淮海战役烈士纪念塔园林","淮海战役",117.191766059317,34.2348248804931,41
"12","江苏省常州市天宁区天宁寺","江苏省",519,"CZ","天宁区",320402,119.969437,31.77426,"常州天宁寺","天宁寺",119.964700532742,31.7763075408329,13
"13","江苏省常州市溧阳市天目湖旅游区","江苏省",519,"CZ","溧阳市",320481,119.42333,31.28121,"常州天目湖旅游区","山水园",119.417967241533,31.2830625513705,18
"14","江苏省常州市","江苏省",519,"CZ","list()",320400,120.000684,31.823705,"常州环球恐龙城","恐龙",119.995865088105,31.8256695891033,6
"15","江苏省苏州市姑苏区拙政园","江苏省",512,"SZ","姑苏区",320508,120.629029,31.32416,"苏州拙政园","拙政园",120.624840679556,31.3263183657415,12
"16","江苏省苏州市姑苏区虎丘山风景名胜区","江苏省",512,"SZ","姑苏区",320508,120.581043,31.33594,"苏州虎丘风景名胜区","虎丘",120.576858154815,31.3381081231287,33
"17","江苏省苏州市虎丘区苏州乐园","江苏省",512,"SZ","虎丘区",320505,120.544241,31.29064,"苏州乐园","苏州乐园",120.539982951602,31.2927690705872,6
"18","江苏省苏州市昆山市周庄古镇","江苏省",512,"SZ","昆山市",320583,120.850993,31.11535,"苏州周庄古镇游览区","周庄",120.846797462585,31.1175730550861,7
"19","江苏省苏州市吴江区同里","江苏省",512,"SZ","吴江区",320509,120.715858,31.15852,"苏州同里古镇游览区","同里",120.711526819381,31.160607160769,8
"20","江苏省苏州市吴中区f直","江苏省",512,"SZ","吴中区",320506,120.872156,31.268776,"苏州f直古镇游览区","f直",120.867981784145,31.2709540602539,8
"21","江苏省苏州市常熟市尚湖风景区","江苏省",512,"SZ","常熟市",320581,120.690873,31.64611,"常熟虞山-尚湖风景区","虞山尚湖",120.686542984184,31.6481059255923,-4
"22","江苏省苏州市姑苏区盘门景区","江苏省",512,"SZ","姑苏区",320508,120.617312,31.28834,"苏州盘门景区","盘门",120.613137924361,31.2905241003034,4
"23","江苏省苏州市吴中区西山景区","江苏省",512,"SZ","吴中区",320506,120.265613,31.120738,"苏州西山景区","西山",120.261072913277,31.1228260254071,55
"24","江苏省苏州市吴中区木渎","江苏省",512,"SZ","吴中区",320506,120.512079,31.251371,"苏州木渎古镇","木渎",120.507713086186,31.2534313336493,10
"25","江苏省苏州市姑苏区狮子林","江苏省",512,"SZ","姑苏区",320508,120.629124,31.32105,"苏州狮子林","狮子林",120.624935819121,31.3232093933029,7
"26","江苏省苏州市姑苏区网师园","江苏省",512,"SZ","姑苏区",320508,120.633654,31.29802,"苏州网师园","网师园",120.629461854936,31.3001823638295,4
"27","江苏省苏州市姑苏区留园","江苏省",512,"SZ","姑苏区",320508,120.592401,31.3154,"苏州留园","留园",120.588227394487,31.3175811281905,6
"28","江苏省南通市崇川区狼山","江苏省",513,"NT","崇川区",320602,120.88714,31.95025,"南通狼山旅游区","狼山",120.882923647202,31.9524096798752,98
"29","江苏省南通市","江苏省",513,"NT","list()",320600,120.865869,32.015434,"南通濠河旅游区","濠河",120.861624282805,32.0175874910503,23
"30","江苏省连云港市海州区花果山景区","江苏省",518,"LYG","海州区",320706,119.264168,34.64269,"连云港花果山景区","花果山",119.258647582241,34.6436956177507,36
"31","江苏省连云港市连云区连岛旅游度假区","江苏省",518,"LYG","连云区",320703,119.45707,34.76388,"连云港连岛旅游度假区","连岛",119.451440432172,34.7646512389417,8
"32","江苏省连云港市海州区孔望山风景区","江苏省",518,"LYG","海州区",320706,119.179207,34.56675,"连云港孔望山风景区","孔望山",119.173598679721,34.5677445397004,5
"33","江苏省扬州市邗江区瘦西湖风景区","江苏省",514,"YZ","邗江区",321003,119.414587,32.40707,"扬州瘦西湖风景区","瘦西湖",119.409107053015,32.4089495109172,11
"34","江苏省扬州市邗江区大明寺","江苏省",514,"YZ","邗江区",321003,119.412685,32.42005,"扬州大明寺","大明寺",119.407202070916,32.4219273691101,32
"35","江苏省镇江市润州区金山公园","江苏省",511,"ZJ","润州区",321111,119.41458,32.21858,"镇江金山公园","金山",119.409118263415,32.2204541674379,3
"36","江苏省镇江市句容市茅山苏省茅山风景区","江苏省",511,"ZJ","句容市",321183,119.314299,31.78149,"镇江茅山风景区","茅山",119.308989298137,31.7833918830544,326
"37","江苏省镇江市京口区焦山风景区","江苏省",511,"ZJ","京口区",321102,119.488446,32.23202,"镇江焦山风景区","焦山",119.483181870004,32.234041538679,6
"38","江苏省镇江市句容市国家森林公园","江苏省",511,"ZJ","句容市",321183,119.093133,32.14045,"镇江宝华山国家森林公园","宝华山",119.087647213666,32.1423139952232,65
"39","江苏省常州市钟楼区亚细亚影视城","江苏省",519,"CZ","钟楼区",320404,119.947813,31.78206,"常州亚细亚影视城","亚细亚",119.943115569338,31.7841594093422,17
"40","江苏省连云港市海州区渔湾风景区","江苏省",518,"LYG","海州区",320706,119.335871,34.64427,"连云港渔湾风景区","渔湾",119.330232960461,34.6451678475821,189
"41","江苏省南京市秦淮区朝天宫景区","江苏省",25,"NJ","秦淮区",320104,118.775271,32.03433,"南京朝天宫景区","朝天宫",118.770059869422,32.0363732828475,15
"42","江苏省南京市玄武区玄武湖景区","江苏省",25,"NJ","玄武区",320102,118.798908,32.07235,"南京玄武湖景区","玄武湖",118.793726831097,32.0744314249553,9
"43","江苏省无锡市滨湖区蠡园公园","江苏省",510,"WX","滨湖区",320211,120.259931,31.51795,"无锡蠡园公园","蠡园",120.255356101372,31.519898165157,6
"44","江苏省无锡市梁溪区薛福成故居","江苏省",510,"WX","梁溪区",320213,120.295938,31.57104,"无锡薛福成故居","薛福成",120.291342740549,31.5729470058839,7
"45","江苏省徐州市泉山区云龙湖景区","江苏省",516,"XZ","泉山区",320311,117.138972,34.24665,"徐州云龙湖景区","云龙湖",117.133124888206,34.2477965354745,33
"46","江苏省徐州市新沂市马陵山景区","江苏省",516,"XZ","新沂市",320381,118.34692,34.19528,"新沂马陵山景区","马陵山",118.341277051498,34.1964471022445,82
"47","江苏省苏州市常熟市常熟","江苏省",512,"SZ","常熟市",320581,120.803963,31.554395,"常熟沙家浜景区","沙家浜",120.799633805082,31.5563830771184,3
"48","江苏省苏州市昆山市锦溪古镇","江苏省",512,"SZ","昆山市",320583,120.899876,31.17649,"昆山锦溪古镇","锦溪",120.895727341169,31.1787289573663,8
"49","江苏省苏州市昆山市亭林园","江苏省",512,"SZ","昆山市",320583,120.949646,31.39079,"昆山亭林园","亭林",120.945414852097,31.3928914146715,61
"50","江苏省苏州市吴江区静思园","江苏省",512,"SZ","吴江区",320509,120.687515,31.16027,"吴江静思园","静思园",120.683232025603,31.1624004280776,2
"51","江苏省淮安市淮安区周恩来纪念馆","江苏省",517,"HA","淮安区",320803,119.150375,33.51587,"淮安周恩来纪念馆","周恩来纪念馆",119.144810939465,33.5172133773209,4
"52","江苏省扬州市广陵区个园","江苏省",514,"YZ","广陵区",321002,119.443762,32.399,"扬州个园","个园",119.438333534983,32.4009147913297,10
"53","江苏省扬州市广陵区何园","江苏省",514,"YZ","广陵区",321002,119.44885,32.38569,"扬州何园","何园",119.443436049035,32.3876153013461,11
"54","江苏省镇江市润州区镇江博物馆","江苏省",511,"ZJ","润州区",321111,119.432106,32.21332,"镇江博物馆","镇江博物馆",119.426669831074,32.2152099068861,20
"55","江苏省泰州市姜堰区姜堰","江苏省",523,"TZ","姜堰区",321204,120.093955,32.623122,"姜堰溱湖旅游区","溱湖",120.088931281131,32.6249380715096,0
"56","江苏省苏州市姑苏区寒山寺","江苏省",512,"SZ","姑苏区",320508,120.568292,31.3102,"苏州寒山寺","寒山寺",120.564090263057,31.3123644784161,10
"57","江苏省苏州市姑苏区戒幢律寺","江苏省",512,"SZ","姑苏区",320508,120.58826,31.31421,"苏州西园戒幢律寺","西园",120.584083811856,31.316390233591,4
"58","江苏省无锡市宜兴市竹海景区","江苏省",510,"WX","宜兴市",320282,119.708041,31.1713,"宜兴竹海景区","宜兴竹海",119.703075833198,31.1734057484991,108
"59","江苏省无锡市宜兴市龙背山森林公园","江苏省",510,"WX","宜兴市",320282,119.81621,31.32711,"宜兴龙背山森林公园","龙背山",119.811361075419,31.3291858094914,15
"60","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.803849,31.370895,"宜兴团鹁扒","团",119.798960688946,31.3729343901698,0
"61","江苏省无锡市江阴市滨江要塞旅游区","江苏省",510,"WX","江阴市",320281,120.277352,31.92613,"江阴滨江要塞旅游区","滨江要塞",120.272740375174,31.9280994535631,11
"62","江苏省常州市溧阳市南山竹海景区","江苏省",519,"CZ","溧阳市",320481,119.524631,31.168802,"溧阳市天目湖南山竹海景区","南山竹海",119.519605239949,31.1709525897903,301
"63","江苏省南京市江宁区阳山碑材","江苏省",25,"NJ","江宁区",320115,119.001861,32.06259,"南京明文化村（阳山碑材）景区","明文化村",118.99660179511,32.0646185578039,68
"64","江苏省徐州市云龙区徐州汉文化景区","江苏省",516,"XZ","云龙区",320303,117.222457,34.24607,"徐州汉文化景区","汉文化",117.216734492322,34.2473533010758,39
"65","江苏省徐州市泉山区彭祖园","江苏省",516,"XZ","泉山区",320311,117.187352,34.2405,"徐州彭祖园景区","彭祖园",117.181585110178,34.2417348017907,49
"66","江苏省苏州市虎丘区白马涧生态园","江苏省",512,"SZ","虎丘区",320505,120.49602,31.29992,"苏州白马涧生态园","白马涧",120.491587590785,31.3019120292242,38
"67","江苏省苏州市常熟市方塔古迹名胜区","江苏省",512,"SZ","常熟市",320581,120.749667,31.64546,"常熟方塔古迹名胜区","常熟方塔",120.745271799487,31.6473959551745,8
"68","江苏省淮安市盱眙县国家森林公园","江苏省",517,"HA","盱眙县",320830,118.490492,32.73965,"盱眙铁山寺国家森林公园","铁山寺",118.485152458036,32.741596116506,97
"69","江苏省盐城市大丰区大丰","江苏省",515,"YC","大丰区",320904,120.815417,32.983929,"大丰中华麋鹿园景区","麋鹿",120.810988100484,32.9857843445062,4
"70","江苏省镇江市润州区镇江南山风景名胜区","江苏省",511,"ZJ","润州区",321111,119.441435,32.171404,"镇江南山风景名胜区","南山风景区",119.436022754642,32.173301888856,153
"71","江苏省常州市天宁区红梅公园","江苏省",519,"CZ","天宁区",320402,119.973284,31.77464,"常州红梅公园","红梅",119.96853883163,31.7766771995499,12
"72","江苏省苏州市常熟市常熟服装城","江苏省",512,"SZ","常熟市",320581,120.742587,31.6199,"常熟服装城购物景区","服装城",120.738194959101,31.6218369060196,4
"73","江苏省南通市崇川区南通博物苑","江苏省",513,"NT","崇川区",320602,120.870167,32.01129,"南通博物苑","南通博物",120.865928706971,32.0134480170187,5
"74","江苏省扬州市邗江区扬州博物馆","江苏省",514,"YZ","邗江区",321003,119.372004,32.39144,"扬州博物馆","扬州博物",119.366531869048,32.3933362560517,6
"75","江苏省南京市栖霞区栖霞山风景名胜区管理处","江苏省",25,"NJ","栖霞区",320113,118.953921,32.14872,"南京栖霞山风景名胜区","栖霞山",118.948814376536,32.1508984041046,10
"76","江苏省南京市玄武区梅园新村纪念馆","江苏省",25,"NJ","玄武区",320102,118.80156,32.04226,"南京梅园新村纪念馆","梅园新村",118.796386373999,32.0443389906815,12
"77","江苏省无锡市梁溪区崇安寺景区","江苏省",510,"WX","梁溪区",320213,120.301235,31.57687,"无锡崇安寺景区","崇安寺",120.29663316759,31.5787682581116,12
"78","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.733346,31.184326,"宜兴陶祖圣境景区","陶祖圣境",119.728367418756,31.1863984825668,134
"79","江苏省徐州市泉山区汉画像石艺术馆","江苏省",516,"XZ","泉山区",320311,117.177244,34.24104,"徐州汉画像石艺术馆","汉画像石",117.171459539605,34.242256040409,44
"80","江苏省苏州市吴中区穹窿山风景区","江苏省",512,"SZ","吴中区",320506,120.445841,31.26706,"苏州穹窿山风景区","穹窿山",120.441237235347,31.268935588741,14
"81","江苏省苏州市昆山市千灯古镇","江苏省",512,"SZ","昆山市",320583,121.002311,31.26548,"昆山千灯古镇游览区","千灯",120.997916052093,31.2674836515007,4
"82","江苏省南通市崇川区中国珠算博物馆","江苏省",513,"NT","崇川区",320602,120.858292,32.0238,"南通中国珠算博物馆","珠算",120.854034381204,32.0259445146394,8
"83","江苏省连云港市赣榆区抗日山风景区","江苏省",518,"LYG","赣榆区",320707,118.862541,34.88722,"连云港赣榆抗日山风景区","抗日山",118.857214986274,34.8881445570525,61
"84","江苏省淮安市淮安区周恩来故居","江苏省",517,"HA","淮安区",320803,119.142588,33.50691,"淮安周恩来故居","周恩来故居",119.137009842853,33.5082447878166,8
"85","江苏省泰州市海陵区凤城河风景区","江苏省",523,"TZ","海陵区",321202,119.927837,32.4818,"泰州凤城河风景区","凤城河",119.923096802637,32.4840132489163,3
"86","江苏省无锡市滨湖区横山风景区","江苏省",510,"WX","滨湖区",320211,120.22506,31.55645,"无锡梅园横山风景区","梅园横山",120.220444223908,31.5583849310712,22
"87","江苏省常州市新北区常州博物馆","江苏省",519,"CZ","新北区",320411,119.974065,31.80829,"常州市博物馆","常州市博物",119.969315062457,31.8103303538667,6
"88","江苏省苏州市吴中区东山景区","江苏省",512,"SZ","吴中区",320506,120.385813,31.07915,"苏州东山景区","东山",120.381151081488,31.0810843603025,174
"89","江苏省淮安市盱眙县盱眙明祖陵","江苏省",517,"HA","盱眙县",320830,118.47684,33.08461,"盱眙明祖陵","明祖陵",118.471417440606,33.0862942230741,11
"90","江苏省宿迁市宿城区雪枫公园","江苏省",527,"SQ","宿城区",321302,118.298837,33.97731,"宿迁雪枫公园","雪枫",118.293303187052,33.9786237845603,25
"91","江苏省徐州市邳州市艾山村","江苏省",516,"XZ","邳州市",320382,117.97468,34.512411,"邳州艾山九龙景区","艾山",117.969078285922,34.5136228742778,114
"92","江苏省连云港市东海县珠宝城公寓","江苏省",518,"LYG","东海县",320722,118.787296,34.52956,"连云港市东海县国际水晶珠宝城","国际水晶",118.781857805785,34.5306957473843,30
"93","江苏省淮安市清江浦区淮安市博物馆","江苏省",517,"HA","清江浦区",320812,119.012706,33.611175,"淮安市博物馆","淮安市博物",119.00725785381,33.6125772708524,19
"94","江苏省淮安市盱眙县第一山","江苏省",517,"HA","盱眙县",320830,118.498761,33.01635,"盱眙第一山景区","第一山",118.493426028282,33.0181466733249,83
"95","江苏省盐城市","江苏省",515,"YC","list()",320900,120.172059,33.35849,"盐城海盐历史文化风景区","海盐",120.167141194504,33.3599380725087,2
"96","江苏省盐城市盐都区大纵湖旅游景区","江苏省",515,"YC","盐都区",320903,119.823982,33.1779,"盐城大纵湖旅游景区","大纵湖",119.818988404997,33.1796509237917,5
"97","江苏省扬州市邗江区京华城","江苏省",514,"YZ","邗江区",321003,119.374424,32.385687,"扬州京华城休闲旅游区","京华城",119.368949781007,32.3875808305297,7
"98","江苏省镇江市京口区北固山风景区","江苏省",511,"ZJ","京口区",321102,119.456345,32.21477,"镇江北固山风景区","北固山",119.450968978462,32.2167039301113,10
"99","江苏省宿迁市泗洪县湿地公园","江苏省",527,"SQ","泗洪县",321324,118.318582,33.2373,"泗洪洪泽湖湿地公园","洪泽湖",118.313088303106,33.2388730071844,12
"100","江苏省苏州市姑苏区苏州园林","江苏省",512,"SZ","姑苏区",320508,120.629029,31.32416,"苏州园林(拙政园、虎丘、留园）","苏州园林",120.624840679556,31.3263183657415,12
"101","江苏省苏州市吴中区旺山景区","江苏省",512,"SZ","吴中区",320506,120.542009,31.21835,"苏州市旺山景区","旺山",120.537750227725,31.2205056746694,90
"102","江苏省南京市建邺区侵华日军南京大屠杀遇难同胞纪念馆","江苏省",25,"NJ","建邺区",320105,118.742372,32.03521,"侵华日军南京大屠杀遇难同胞纪念馆","大屠杀",118.737150118774,32.0372432252482,9
"103","江苏省南京市雨花台区南京科技馆","江苏省",25,"NJ","雨花台区",320114,118.784854,31.98639,"南京科技馆","南京科技馆",118.779658656367,31.9884324044908,33
"104","江苏省无锡市梁溪区东林书院","江苏省",510,"WX","梁溪区",320213,120.30854,31.57692,"无锡东林书院","东林",120.303928694747,31.5788057873092,6
"105","江苏省常州市钟楼区青枫公园","江苏省",519,"CZ","钟楼区",320404,119.898969,31.79728,"常州青枫公园","青枫",119.894281130254,31.799428629184,7
"106","江苏省常州市武进区中国春秋淹城旅游区","江苏省",519,"CZ","武进区",320412,119.932189,31.70224,"常州中国春秋淹城旅游区","春秋乐园",119.927515099293,31.7043562424063,2
"107","江苏省常州市武进区中国春秋淹城旅游区","江苏省",519,"CZ","武进区",320412,119.926846,31.698838,"常州中国春秋淹城旅游区","野生动物世界",119.922175337745,31.7009606028045,6
"108","江苏省苏州市吴中区重元寺","江苏省",512,"SZ","吴中区",320506,120.781891,31.4062,"苏州重元寺","重元寺",120.777537992991,31.4081831411423,5
"109","江苏省无锡市梁溪区无锡博物院","江苏省",510,"WX","梁溪区",320213,120.305869,31.54961,"无锡博物院","无锡博物馆",120.30126364635,31.551502456852,9
"110","江苏省无锡市新吴区鸿山遗址博物馆","江苏省",510,"WX","新吴区",320214,120.508123,31.49274,"无锡鸿山遗址博物馆","鸿山遗址",120.503721640088,31.4947144161811,5
"111","江苏省无锡市滨湖区太湖欢乐园","江苏省",510,"WX","滨湖区",320211,120.23592,31.58357,"无锡动物园・太湖欢乐园","无锡动物园",120.231319340713,31.5855108303782,21
"112","江苏省常州市溧阳市天目湖","江苏省",519,"CZ","溧阳市",320481,119.53349,31.181829,"常州天目湖御水温泉景区","御水温泉",119.52849478715,31.1839965674844,129
"113","江苏省苏州市吴中区金鸡湖景区","江苏省",512,"SZ","吴中区",320506,120.698571,31.31155,"苏州金鸡湖景区","金鸡湖",120.694254439446,31.3135925273312,2
"114","江苏省苏州市姑苏区七里山塘景区","江苏省",512,"SZ","姑苏区",320508,120.602543,31.31681,"苏州七里山塘景区","山塘",120.598371986354,31.3189906722204,3
